0,290,0,0,0,0,68,0,0,368
0,0,129,89,115,54,72,0,0,332
0,231,56,105,0,55,81,0,40,270
0,300,0,0,133,72,0,108,0,259
0,227,74,97,0,59,39,107,31,252
136,218,0,80,123,0,0,100,34,222
0,295,0,0,175,65,39,103,37,235
285,0,0,182,0,0,0,0,70,475
0,0,167,0,199,68,84,129,52,397
304,0,0,172,0,98,0,125,0,428
0,369,0,0,190,73,105,0,0,423
246,0,122,137,190,65,0,158,52,328
373,0,0,189,0,0,144,0,77,564
201,312,89,129,179,66,0,0,56,366
461,0,0,242,0,0,163,0,0,629
360,0,188,209,0,0,71,177,69,523
0,0,0,0,0,298,0,0,0,1424
0,0,0,237,303,0,131,220,119,894
336,537,0,0,0,181,0,0,99,790
355,522,0,0,320,141,175,0,0,556
0,0,0,493,0,0,0,391,0,1381
0,0,0,0,550,0,229,330,0,1247
371,671,0,284,0,153,130,254,0,619
0,725,237,228,349,0,134,265,0,658
418,644,209,0,396,134,0,294,0,644
0,924,300,0,0,0,270,0,134,1212
0,0,0,600,0,0,274,453,0,1724
678,0,351,331,459,0,0,0,150,1200
0,0,0,0,774,0,0,519,0,1962
839,0,0,476,0,254,232,428,0,1200
0,1236,0,333,565,0,0,0,0,1375
520,857,265,430,0,234,312,0,0,1000
646,1011,0,0,0,0,352,0,212,1515
0,0,633,0,0,474,332,502,0,1944
0,1392,0,636,0,0,0,0,204,1720
506,878,263,314,515,191,170,344,108,782
0,0,0,821,0,0,0,603,316,2416
1153,0,0,0,0,437,0,598,243,1805
0,1295,348,410,617,0,0,0,185,1388
1366,0,0,782,0,0,0,0,0,2233
1345,0,0,0,0,0,482,0,302,2306
1099,0,546,0,0,0,433,0,271,2086
636,964,325,379,564,222,0,0,139,1263
0,1779,0,0,0,468,0,0,0,2325
973,0,468,436,690,0,230,498,0,1366
0,1546,0,0,886,0,249,532,0,1480
792,1231,0,0,859,0,0,0,206,1593
0,0,0,0,1081,0,0,715,297,2590
1249,0,0,0,910,0,303,554,0,1697
0,0,0,0,1055,0,590,0,380,2775
